,Country,economy,Year,Unemployment_Percentage
5036,IBRD only,IBD,YR1978,
5037,High income,HIC,YR1978,
5038,Heavily indebted poor countries (HIPC),HPC,YR1978,
5039,Fragile and conflict affected situations,FCS,YR1978,
5040,European Union,EUU,YR1978,
5041,Europe & Central Asia (IDA & IBRD countries),TEC,YR1978,
5042,Europe & Central Asia (excluding high income),ECA,YR1978,
5043,Europe & Central Asia,ECS,YR1978,
5044,Euro area,EMU,YR1978,
5045,East Asia & Pacific (IDA & IBRD countries),TEA,YR1978,
5046,East Asia & Pacific (excluding high income),EAP,YR1978,
5047,East Asia & Pacific,EAS,YR1978,
5048,Early-demographic dividend,EAR,YR1978,
5049,Central Europe and the Baltics,CEB,YR1978,
5050,Caribbean small states,CSS,YR1978,
5051,Arab World,ARB,YR1978,
5052,Africa Western and Central,AFW,YR1978,
5053,Africa Eastern and Southern,AFE,YR1978,
5054,Zimbabwe,ZWE,YR1979,
5055,Zambia,ZMB,YR1979,
5056,"Yemen, Rep.",YEM,YR1979,
5057,West Bank and Gaza,PSE,YR1979,
5058,Virgin Islands (U.S.),VIR,YR1979,
5059,Viet Nam,VNM,YR1979,
5060,"Venezuela, RB",VEN,YR1979,
5061,Vanuatu,VUT,YR1979,
5062,Uzbekistan,UZB,YR1979,
5063,Uruguay,URY,YR1979,
5064,United States,USA,YR1979,
5065,United Kingdom,GBR,YR1979,
5066,United Arab Emirates,ARE,YR1979,
5067,Ukraine,UKR,YR1979,
5068,Uganda,UGA,YR1979,
5069,Tuvalu,TUV,YR1979,
5070,Turks and Caicos Islands,TCA,YR1979,
5071,Turkmenistan,TKM,YR1979,
5072,Turkiye,TUR,YR1979,
5073,Tunisia,TUN,YR1979,
5074,Trinidad and Tobago,TTO,YR1979,
5075,Tonga,TON,YR1979,
5076,Togo,TGO,YR1979,
5077,Timor-Leste,TLS,YR1979,
5078,Thailand,THA,YR1979,
5079,Tanzania,TZA,YR1979,
5080,Tajikistan,TJK,YR1979,
5081,Syrian Arab Republic,SYR,YR1979,
5082,Switzerland,CHE,YR1979,
5083,Sweden,SWE,YR1979,
5084,Suriname,SUR,YR1979,
5085,Sudan,SDN,YR1979,
5086,St. Vincent and the Grenadines,VCT,YR1979,
5087,St. Martin (French part),MAF,YR1979,
5088,St. Lucia,LCA,YR1979,
5089,St. Kitts and Nevis,KNA,YR1979,
5090,Sri Lanka,LKA,YR1979,
5091,Spain,ESP,YR1979,
5092,South Sudan,SSD,YR1979,
5093,South Africa,ZAF,YR1979,
5094,Somalia,SOM,YR1979,
5095,Solomon Islands,SLB,YR1979,
5096,Slovenia,SVN,YR1979,
5097,Slovak Republic,SVK,YR1979,
5098,Sint Maarten (Dutch part),SXM,YR1979,
5099,Singapore,SGP,YR1979,
5100,Sierra Leone,SLE,YR1979,
5101,Seychelles,SYC,YR1979,
5102,Serbia,SRB,YR1979,
5103,Senegal,SEN,YR1979,
5104,Saudi Arabia,SAU,YR1979,
5105,Sao Tome and Principe,STP,YR1979,
5106,San Marino,SMR,YR1979,
5107,Samoa,WSM,YR1979,
5108,Rwanda,RWA,YR1979,
5109,Russian Federation,RUS,YR1979,
5110,Romania,ROU,YR1979,
5111,Qatar,QAT,YR1979,
5112,Puerto Rico,PRI,YR1979,
5113,Portugal,PRT,YR1979,
5114,Poland,POL,YR1979,
5115,Philippines,PHL,YR1979,
5116,Peru,PER,YR1979,
5117,Paraguay,PRY,YR1979,
5118,Papua New Guinea,PNG,YR1979,
5119,Panama,PAN,YR1979,
5120,Palau,PLW,YR1979,
5121,Pakistan,PAK,YR1979,
5122,Oman,OMN,YR1979,
5123,Norway,NOR,YR1979,
5124,Northern Mariana Islands,MNP,YR1979,
5125,North Macedonia,MKD,YR1979,
5126,Nigeria,NGA,YR1979,
5127,Niger,NER,YR1979,
5128,Nicaragua,NIC,YR1979,
5129,New Zealand,NZL,YR1979,
5130,New Caledonia,NCL,YR1979,
5131,Netherlands,NLD,YR1979,
5132,Nepal,NPL,YR1979,
5133,Nauru,NRU,YR1979,
5134,Namibia,NAM,YR1979,
5135,Myanmar,MMR,YR1979,
5136,Mozambique,MOZ,YR1979,
5137,Morocco,MAR,YR1979,
5138,Montenegro,MNE,YR1979,
5139,Mongolia,MNG,YR1979,
5140,Monaco,MCO,YR1979,
5141,Moldova,MDA,YR1979,
5142,"Micronesia, Fed. Sts.",FSM,YR1979,
5143,Mexico,MEX,YR1979,
5144,Mauritius,MUS,YR1979,
5145,Mauritania,MRT,YR1979,
5146,Marshall Islands,MHL,YR1979,
5147,Malta,MLT,YR1979,
5148,Mali,MLI,YR1979,
5149,Maldives,MDV,YR1979,
5150,Malaysia,MYS,YR1979,
5151,Malawi,MWI,YR1979,
5152,Madagascar,MDG,YR1979,
5153,"Macao SAR, China",MAC,YR1979,
5154,Luxembourg,LUX,YR1979,
5155,Lithuania,LTU,YR1979,
5156,Liechtenstein,LIE,YR1979,
5157,Libya,LBY,YR1979,
5158,Liberia,LBR,YR1979,
5159,Lesotho,LSO,YR1979,
5160,Lebanon,LBN,YR1979,
5161,Latvia,LVA,YR1979,
5162,Lao PDR,LAO,YR1979,
5163,Kyrgyz Republic,KGZ,YR1979,
5164,Kuwait,KWT,YR1979,
5165,Kosovo,XKX,YR1979,
5166,"Korea, Rep.",KOR,YR1979,
5167,"Korea, Dem. People's Rep.",PRK,YR1979,
5168,Kiribati,KIR,YR1979,
5169,Kenya,KEN,YR1979,
5170,Kazakhstan,KAZ,YR1979,
5171,Jordan,JOR,YR1979,
5172,Japan,JPN,YR1979,
5173,Jamaica,JAM,YR1979,
5174,Italy,ITA,YR1979,
5175,Israel,ISR,YR1979,
5176,Isle of Man,IMN,YR1979,
5177,Ireland,IRL,YR1979,
5178,Iraq,IRQ,YR1979,
5179,"Iran, Islamic Rep.",IRN,YR1979,
5180,Indonesia,IDN,YR1979,
5181,India,IND,YR1979,
5182,Iceland,ISL,YR1979,
5183,Hungary,HUN,YR1979,
5184,"Hong Kong SAR, China",HKG,YR1979,
5185,Honduras,HND,YR1979,
5186,Haiti,HTI,YR1979,
5187,Guyana,GUY,YR1979,
5188,Guinea-Bissau,GNB,YR1979,
5189,Guinea,GIN,YR1979,
5190,Guatemala,GTM,YR1979,
5191,Guam,GUM,YR1979,
5192,Grenada,GRD,YR1979,
5193,Greenland,GRL,YR1979,
5194,Greece,GRC,YR1979,
5195,Gibraltar,GIB,YR1979,
5196,Ghana,GHA,YR1979,
5197,Germany,DEU,YR1979,
5198,Georgia,GEO,YR1979,
5199,"Gambia, The",GMB,YR1979,
5200,Gabon,GAB,YR1979,
5201,French Polynesia,PYF,YR1979,
5202,France,FRA,YR1979,
5203,Finland,FIN,YR1979,
5204,Fiji,FJI,YR1979,
5205,Faroe Islands,FRO,YR1979,
5206,Ethiopia,ETH,YR1979,
5207,Eswatini,SWZ,YR1979,
5208,Estonia,EST,YR1979,
5209,Eritrea,ERI,YR1979,
5210,Equatorial Guinea,GNQ,YR1979,
5211,El Salvador,SLV,YR1979,
5212,"Egypt, Arab Rep.",EGY,YR1979,
5213,Ecuador,ECU,YR1979,
5214,Dominican Republic,DOM,YR1979,
5215,Dominica,DMA,YR1979,
5216,Djibouti,DJI,YR1979,
5217,Denmark,DNK,YR1979,
5218,Czechia,CZE,YR1979,
5219,Cyprus,CYP,YR1979,
5220,Curacao,CUW,YR1979,
5221,Cuba,CUB,YR1979,
5222,Croatia,HRV,YR1979,
5223,Cote d'Ivoire,CIV,YR1979,
5224,Costa Rica,CRI,YR1979,
5225,"Congo, Rep.",COG,YR1979,
5226,"Congo, Dem. Rep.",COD,YR1979,
5227,Comoros,COM,YR1979,
5228,Colombia,COL,YR1979,
5229,China,CHN,YR1979,
5230,Chile,CHL,YR1979,
5231,Channel Islands,CHI,YR1979,
5232,Chad,TCD,YR1979,
5233,Central African Republic,CAF,YR1979,
5234,Cayman Islands,CYM,YR1979,
5235,Canada,CAN,YR1979,
5236,Cameroon,CMR,YR1979,
5237,Cambodia,KHM,YR1979,
5238,Cabo Verde,CPV,YR1979,
5239,Burundi,BDI,YR1979,
5240,Burkina Faso,BFA,YR1979,
5241,Bulgaria,BGR,YR1979,
5242,Brunei Darussalam,BRN,YR1979,
5243,British Virgin Islands,VGB,YR1979,
5244,Brazil,BRA,YR1979,
5245,Botswana,BWA,YR1979,
5246,Bosnia and Herzegovina,BIH,YR1979,
5247,Bolivia,BOL,YR1979,
5248,Bhutan,BTN,YR1979,
5249,Bermuda,BMU,YR1979,
5250,Benin,BEN,YR1979,
5251,Belize,BLZ,YR1979,
5252,Belgium,BEL,YR1979,
5253,Belarus,BLR,YR1979,
5254,Barbados,BRB,YR1979,
5255,Bangladesh,BGD,YR1979,
5256,Bahrain,BHR,YR1979,
5257,"Bahamas, The",BHS,YR1979,
5258,Azerbaijan,AZE,YR1979,
5259,Austria,AUT,YR1979,
5260,Australia,AUS,YR1979,
5261,Aruba,ABW,YR1979,
5262,Armenia,ARM,YR1979,
5263,Argentina,ARG,YR1979,
5264,Antigua and Barbuda,ATG,YR1979,
5265,Angola,AGO,YR1979,
5266,Andorra,AND,YR1979,
5267,American Samoa,ASM,YR1979,
5268,Algeria,DZA,YR1979,
5269,Albania,ALB,YR1979,
5270,Afghanistan,AFG,YR1979,
5271,World,WLD,YR1979,
5272,Upper middle income,UMC,YR1979,
5273,Sub-Saharan Africa (IDA & IBRD countries),TSS,YR1979,
5274,Sub-Saharan Africa (excluding high income),SSA,YR1979,
5275,Sub-Saharan Africa,SSF,YR1979,
5276,South Asia (IDA & IBRD),TSA,YR1979,
5277,South Asia,SAS,YR1979,
5278,Small states,SST,YR1979,
5279,Pre-demographic dividend,PRE,YR1979,
5280,Post-demographic dividend,PST,YR1979,
5281,Pacific island small states,PSS,YR1979,
5282,Other small states,OSS,YR1979,
5283,OECD members,OED,YR1979,
5284,Not classified,INX,YR1979,
5285,North America,NAC,YR1979,
5286,Middle income,MIC,YR1979,
5287,Middle East & North Africa (IDA & IBRD countries),TMN,YR1979,
5288,Middle East & North Africa (excluding high income),MNA,YR1979,
5289,Middle East & North Africa,MEA,YR1979,
5290,Lower middle income,LMC,YR1979,
5291,Low income,LIC,YR1979,
5292,Low & middle income,LMY,YR1979,
5293,Least developed countries: UN classification,LDC,YR1979,
5294,Latin America & the Caribbean (IDA & IBRD countries),TLA,YR1979,
5295,Latin America & Caribbean (excluding high income),LAC,YR1979,
5296,Latin America & Caribbean,LCN,YR1979,
5297,Late-demographic dividend,LTE,YR1979,
5298,IDA total,IDA,YR1979,
5299,IDA only,IDX,YR1979,
5300,IDA blend,IDB,YR1979,
5301,IDA & IBRD total,IBT,YR1979,
5302,IBRD only,IBD,YR1979,
5303,High income,HIC,YR1979,
5304,Heavily indebted poor countries (HIPC),HPC,YR1979,
5305,Fragile and conflict affected situations,FCS,YR1979,
5306,European Union,EUU,YR1979,
5307,Europe & Central Asia (IDA & IBRD countries),TEC,YR1979,
5308,Europe & Central Asia (excluding high income),ECA,YR1979,
5309,Europe & Central Asia,ECS,YR1979,
5310,Euro area,EMU,YR1979,
5311,East Asia & Pacific (IDA & IBRD countries),TEA,YR1979,
5312,East Asia & Pacific (excluding high income),EAP,YR1979,
5313,East Asia & Pacific,EAS,YR1979,
5314,Early-demographic dividend,EAR,YR1979,
5315,Central Europe and the Baltics,CEB,YR1979,
5316,Caribbean small states,CSS,YR1979,
5317,Arab World,ARB,YR1979,
5318,Africa Western and Central,AFW,YR1979,
5319,Africa Eastern and Southern,AFE,YR1979,
5320,Zimbabwe,ZWE,YR1980,
5321,Zambia,ZMB,YR1980,
5322,"Yemen, Rep.",YEM,YR1980,
5323,West Bank and Gaza,PSE,YR1980,
5324,Virgin Islands (U.S.),VIR,YR1980,
5325,Viet Nam,VNM,YR1980,
5326,"Venezuela, RB",VEN,YR1980,
5327,Vanuatu,VUT,YR1980,
5328,Uzbekistan,UZB,YR1980,
5329,Uruguay,URY,YR1980,
5330,United States,USA,YR1980,
5331,United Kingdom,GBR,YR1980,
5332,United Arab Emirates,ARE,YR1980,
5333,Ukraine,UKR,YR1980,
5334,Uganda,UGA,YR1980,
5335,Tuvalu,TUV,YR1980,
5336,Turks and Caicos Islands,TCA,YR1980,
5337,Turkmenistan,TKM,YR1980,
5338,Turkiye,TUR,YR1980,
5339,Tunisia,TUN,YR1980,
5340,Trinidad and Tobago,TTO,YR1980,
5341,Tonga,TON,YR1980,
5342,Togo,TGO,YR1980,
5343,Timor-Leste,TLS,YR1980,
5344,Thailand,THA,YR1980,
5345,Tanzania,TZA,YR1980,
5346,Tajikistan,TJK,YR1980,
5347,Syrian Arab Republic,SYR,YR1980,
5348,Switzerland,CHE,YR1980,
5349,Sweden,SWE,YR1980,
5350,Suriname,SUR,YR1980,
5351,Sudan,SDN,YR1980,
5352,St. Vincent and the Grenadines,VCT,YR1980,
5353,St. Martin (French part),MAF,YR1980,
5354,St. Lucia,LCA,YR1980,
5355,St. Kitts and Nevis,KNA,YR1980,
5356,Sri Lanka,LKA,YR1980,
5357,Spain,ESP,YR1980,
5358,South Sudan,SSD,YR1980,
5359,South Africa,ZAF,YR1980,
5360,Somalia,SOM,YR1980,
5361,Solomon Islands,SLB,YR1980,
5362,Slovenia,SVN,YR1980,
5363,Slovak Republic,SVK,YR1980,
5364,Sint Maarten (Dutch part),SXM,YR1980,
5365,Singapore,SGP,YR1980,
5366,Sierra Leone,SLE,YR1980,
5367,Seychelles,SYC,YR1980,
5368,Serbia,SRB,YR1980,
5369,Senegal,SEN,YR1980,
5370,Saudi Arabia,SAU,YR1980,
5371,Sao Tome and Principe,STP,YR1980,
5372,San Marino,SMR,YR1980,
5373,Samoa,WSM,YR1980,
5374,Rwanda,RWA,YR1980,
