,Country,economy,Year,central_government_debt
10291,Cambodia,KHM,YR1998,
10292,Cabo Verde,CPV,YR1998,
10293,Burundi,BDI,YR1998,
10294,Burkina Faso,BFA,YR1998,
10295,Bulgaria,BGR,YR1998,56.7466305226017
10296,Brunei Darussalam,BRN,YR1998,
10297,British Virgin Islands,VGB,YR1998,
10298,Brazil,BRA,YR1998,
10299,Botswana,BWA,YR1998,
10300,Bosnia and Herzegovina,BIH,YR1998,
10301,Bolivia,BOL,YR1998,47.0751925934341
10302,Bhutan,BTN,YR1998,31.0826268923135
10303,Bermuda,BMU,YR1998,
10304,Benin,BEN,YR1998,
10305,Belize,BLZ,YR1998,
10306,Belgium,BEL,YR1998,126.005664754856
10307,Belarus,BLR,YR1998,20.1805426390813
10308,Barbados,BRB,YR1998,
10309,Bangladesh,BGD,YR1998,
10310,Bahrain,BHR,YR1998,18.6135552828644
10311,"Bahamas, The",BHS,YR1998,20.9517328580084
10312,Azerbaijan,AZE,YR1998,
10313,Austria,AUT,YR1998,
10314,Australia,AUS,YR1998,
10315,Aruba,ABW,YR1998,
10316,Armenia,ARM,YR1998,
10317,Argentina,ARG,YR1998,
10318,Antigua and Barbuda,ATG,YR1998,
10319,Angola,AGO,YR1998,
10320,Andorra,AND,YR1998,
10321,American Samoa,ASM,YR1998,
10322,Algeria,DZA,YR1998,
10323,Albania,ALB,YR1998,
10324,Afghanistan,AFG,YR1998,
10325,World,WLD,YR1998,
10326,Upper middle income,UMC,YR1998,
10327,Sub-Saharan Africa (IDA & IBRD countries),TSS,YR1998,
10328,Sub-Saharan Africa (excluding high income),SSA,YR1998,
10329,Sub-Saharan Africa,SSF,YR1998,
10330,South Asia (IDA & IBRD),TSA,YR1998,54.6406718900789
10331,South Asia,SAS,YR1998,54.6406718900789
10332,Small states,SST,YR1998,
10333,Pre-demographic dividend,PRE,YR1998,
10334,Post-demographic dividend,PST,YR1998,58.5864922696518
10335,Pacific island small states,PSS,YR1998,
10336,Other small states,OSS,YR1998,
10337,OECD members,OED,YR1998,58.1451139992958
10338,Not classified,INX,YR1998,
10339,North America,NAC,YR1998,43.8060504573995
10340,Middle income,MIC,YR1998,
10341,Middle East & North Africa (IDA & IBRD countries),TMN,YR1998,
10342,Middle East & North Africa (excluding high income),MNA,YR1998,
10343,Middle East & North Africa,MEA,YR1998,
10344,Lower middle income,LMC,YR1998,
10345,Low income,LIC,YR1998,
10346,Low & middle income,LMY,YR1998,
10347,Least developed countries: UN classification,LDC,YR1998,
10348,Latin America & the Caribbean (IDA & IBRD countries),TLA,YR1998,
10349,Latin America & Caribbean (excluding high income),LAC,YR1998,
10350,Latin America & Caribbean,LCN,YR1998,
10351,Late-demographic dividend,LTE,YR1998,
10352,IDA total,IDA,YR1998,
10353,IDA only,IDX,YR1998,
10354,IDA blend,IDB,YR1998,
10355,IDA & IBRD total,IBT,YR1998,
10356,IBRD only,IBD,YR1998,
10357,High income,HIC,YR1998,58.2095067325467
10358,Heavily indebted poor countries (HIPC),HPC,YR1998,
10359,Fragile and conflict affected situations,FCS,YR1998,
10360,European Union,EUU,YR1998,66.6287406406296
10361,Europe & Central Asia (IDA & IBRD countries),TEC,YR1998,
10362,Europe & Central Asia (excluding high income),ECA,YR1998,
10363,Europe & Central Asia,ECS,YR1998,67.3476682894051
10364,Euro area,EMU,YR1998,68.1912470215731
10365,East Asia & Pacific (IDA & IBRD countries),TEA,YR1998,
10366,East Asia & Pacific (excluding high income),EAP,YR1998,
10367,East Asia & Pacific,EAS,YR1998,
10368,Early-demographic dividend,EAR,YR1998,
10369,Central Europe and the Baltics,CEB,YR1998,36.3337594745289
10370,Caribbean small states,CSS,YR1998,
10371,Arab World,ARB,YR1998,
10372,Africa Western and Central,AFW,YR1998,
10373,Africa Eastern and Southern,AFE,YR1998,
10374,Zimbabwe,ZWE,YR1999,
10375,Zambia,ZMB,YR1999,
10376,"Yemen, Rep.",YEM,YR1999,
10377,West Bank and Gaza,PSE,YR1999,
10378,Virgin Islands (U.S.),VIR,YR1999,
10379,Viet Nam,VNM,YR1999,
10380,"Venezuela, RB",VEN,YR1999,
10381,Vanuatu,VUT,YR1999,27.3032116324112
10382,Uzbekistan,UZB,YR1999,
10383,Uruguay,URY,YR1999,
10384,United States,USA,YR1999,37.7272880185298
10385,United Kingdom,GBR,YR1999,87.5878985629496
10386,United Arab Emirates,ARE,YR1999,
10387,Ukraine,UKR,YR1999,60.9764493031386
10388,Uganda,UGA,YR1999,
10389,Tuvalu,TUV,YR1999,
10390,Turks and Caicos Islands,TCA,YR1999,
10391,Turkmenistan,TKM,YR1999,
10392,Turkiye,TUR,YR1999,
10393,Tunisia,TUN,YR1999,55.6386363803379
10394,Trinidad and Tobago,TTO,YR1999,
10395,Tonga,TON,YR1999,
10396,Togo,TGO,YR1999,
10397,Timor-Leste,TLS,YR1999,
10398,Thailand,THA,YR1999,
10399,Tanzania,TZA,YR1999,
10400,Tajikistan,TJK,YR1999,151.538884758364
10401,Syrian Arab Republic,SYR,YR1999,
10402,Switzerland,CHE,YR1999,24.8009191572316
10403,Sweden,SWE,YR1999,77.8390669173776
10404,Suriname,SUR,YR1999,
10405,Sudan,SDN,YR1999,8.65873242919908
10406,St. Vincent and the Grenadines,VCT,YR1999,51.9460822416441
10407,St. Martin (French part),MAF,YR1999,
10408,St. Lucia,LCA,YR1999,
10409,St. Kitts and Nevis,KNA,YR1999,
10410,Sri Lanka,LKA,YR1999,95.1081546127673
10411,Spain,ESP,YR1999,55.6718478671446
10412,South Sudan,SSD,YR1999,
10413,South Africa,ZAF,YR1999,
10414,Somalia,SOM,YR1999,
10415,Solomon Islands,SLB,YR1999,
10416,Slovenia,SVN,YR1999,29.9166085442936
10417,Slovak Republic,SVK,YR1999,47.4373858302955
10418,Sint Maarten (Dutch part),SXM,YR1999,
10419,Singapore,SGP,YR1999,87.8603784550691
10420,Sierra Leone,SLE,YR1999,
10421,Seychelles,SYC,YR1999,
10422,Serbia,SRB,YR1999,
10423,Senegal,SEN,YR1999,
10424,Saudi Arabia,SAU,YR1999,
10425,Sao Tome and Principe,STP,YR1999,
10426,San Marino,SMR,YR1999,
10427,Samoa,WSM,YR1999,
10428,Rwanda,RWA,YR1999,
10429,Russian Federation,RUS,YR1999,
10430,Romania,ROU,YR1999,30.0096868288152
10431,Qatar,QAT,YR1999,
10432,Puerto Rico,PRI,YR1999,
10433,Portugal,PRT,YR1999,65.5152631442752
10434,Poland,POL,YR1999,42.4710539190251
10435,Philippines,PHL,YR1999,52.8348897149163
10436,Peru,PER,YR1999,
10437,Paraguay,PRY,YR1999,
10438,Papua New Guinea,PNG,YR1999,63.5373009220453
10439,Panama,PAN,YR1999,
10440,Palau,PLW,YR1999,
10441,Pakistan,PAK,YR1999,
10442,Oman,OMN,YR1999,
10443,Norway,NOR,YR1999,19.7300671239507
10444,Northern Mariana Islands,MNP,YR1999,
10445,North Macedonia,MKD,YR1999,
10446,Nigeria,NGA,YR1999,
10447,Niger,NER,YR1999,
10448,Nicaragua,NIC,YR1999,
10449,New Zealand,NZL,YR1999,
10450,New Caledonia,NCL,YR1999,
10451,Netherlands,NLD,YR1999,55.5010144018843
10452,Nepal,NPL,YR1999,64.0681097896128
10453,Nauru,NRU,YR1999,
10454,Namibia,NAM,YR1999,
10455,Myanmar,MMR,YR1999,
10456,Mozambique,MOZ,YR1999,
10457,Morocco,MAR,YR1999,55.4449807288653
10458,Montenegro,MNE,YR1999,
10459,Mongolia,MNG,YR1999,
10460,Monaco,MCO,YR1999,
10461,Moldova,MDA,YR1999,
10462,"Micronesia, Fed. Sts.",FSM,YR1999,
10463,Mexico,MEX,YR1999,
10464,Mauritius,MUS,YR1999,
10465,Mauritania,MRT,YR1999,
10466,Marshall Islands,MHL,YR1999,
10467,Malta,MLT,YR1999,155.030108824762
10468,Mali,MLI,YR1999,
10469,Maldives,MDV,YR1999,40.126298421858
10470,Malaysia,MYS,YR1999,
10471,Malawi,MWI,YR1999,
10472,Madagascar,MDG,YR1999,
10473,"Macao SAR, China",MAC,YR1999,
10474,Luxembourg,LUX,YR1999,12.7973712364448
10475,Lithuania,LTU,YR1999,31.0785660449799
10476,Liechtenstein,LIE,YR1999,
10477,Libya,LBY,YR1999,
10478,Liberia,LBR,YR1999,
10479,Lesotho,LSO,YR1999,
10480,Lebanon,LBN,YR1999,128.641269114899
10481,Latvia,LVA,YR1999,19.1572926239673
10482,Lao PDR,LAO,YR1999,
10483,Kyrgyz Republic,KGZ,YR1999,
10484,Kuwait,KWT,YR1999,
10485,Kosovo,XKX,YR1999,
10486,"Korea, Rep.",KOR,YR1999,
10487,"Korea, Dem. People's Rep.",PRK,YR1999,
10488,Kiribati,KIR,YR1999,
10489,Kenya,KEN,YR1999,
10490,Kazakhstan,KAZ,YR1999,
10491,Jordan,JOR,YR1999,99.9058546631362
10492,Japan,JPN,YR1999,90.653794128391
10493,Jamaica,JAM,YR1999,88.9636436472209
10494,Italy,ITA,YR1999,117.305670470013
10495,Israel,ISR,YR1999,88.6031902646067
10496,Isle of Man,IMN,YR1999,
10497,Ireland,IRL,YR1999,49.1417157270806
10498,Iraq,IRQ,YR1999,
10499,"Iran, Islamic Rep.",IRN,YR1999,
10500,Indonesia,IDN,YR1999,
10501,India,IND,YR1999,51.3529514384148
10502,Iceland,ISL,YR1999,59.0791330998982
10503,Hungary,HUN,YR1999,66.6884496095655
10504,"Hong Kong SAR, China",HKG,YR1999,
10505,Honduras,HND,YR1999,
10506,Haiti,HTI,YR1999,
10507,Guyana,GUY,YR1999,
10508,Guinea-Bissau,GNB,YR1999,
10509,Guinea,GIN,YR1999,
10510,Guatemala,GTM,YR1999,13.4701885924417
10511,Guam,GUM,YR1999,
10512,Grenada,GRD,YR1999,
10513,Greenland,GRL,YR1999,
10514,Greece,GRC,YR1999,109.026628910023
10515,Gibraltar,GIB,YR1999,
10516,Ghana,GHA,YR1999,
10517,Germany,DEU,YR1999,40.460941596908
10518,Georgia,GEO,YR1999,60.7776033305696
10519,"Gambia, The",GMB,YR1999,
10520,Gabon,GAB,YR1999,
10521,French Polynesia,PYF,YR1999,
10522,France,FRA,YR1999,59.1702064027169
10523,Finland,FIN,YR1999,63.2189794824924
10524,Fiji,FJI,YR1999,
10525,Faroe Islands,FRO,YR1999,
10526,Ethiopia,ETH,YR1999,83.4720247831402
10527,Eswatini,SWZ,YR1999,22.7106420776584
10528,Estonia,EST,YR1999,7.84184333624567
10529,Eritrea,ERI,YR1999,
10530,Equatorial Guinea,GNQ,YR1999,
10531,El Salvador,SLV,YR1999,
10532,"Egypt, Arab Rep.",EGY,YR1999,
10533,Ecuador,ECU,YR1999,
10534,Dominican Republic,DOM,YR1999,16.4168038368014
10535,Dominica,DMA,YR1999,
10536,Djibouti,DJI,YR1999,
10537,Denmark,DNK,YR1999,59.2185029349332
10538,Czechia,CZE,YR1999,18.9256199447577
10539,Cyprus,CYP,YR1999,145.049758020578
10540,Curacao,CUW,YR1999,
10541,Cuba,CUB,YR1999,
10542,Croatia,HRV,YR1999,28.5379251510368
10543,Cote d'Ivoire,CIV,YR1999,
10544,Costa Rica,CRI,YR1999,40.1048029042645
10545,"Congo, Rep.",COG,YR1999,
10546,"Congo, Dem. Rep.",COD,YR1999,
10547,Comoros,COM,YR1999,
10548,Colombia,COL,YR1999,
10549,China,CHN,YR1999,
10550,Chile,CHL,YR1999,13.2770070103556
10551,Channel Islands,CHI,YR1999,
10552,Chad,TCD,YR1999,
10553,Central African Republic,CAF,YR1999,
10554,Cayman Islands,CYM,YR1999,
10555,Canada,CAN,YR1999,66.2372993014306
10556,Cameroon,CMR,YR1999,79.4576584012943
10557,Cambodia,KHM,YR1999,
10558,Cabo Verde,CPV,YR1999,
10559,Burundi,BDI,YR1999,
10560,Burkina Faso,BFA,YR1999,
10561,Bulgaria,BGR,YR1999,66.4559059688529
10562,Brunei Darussalam,BRN,YR1999,
10563,British Virgin Islands,VGB,YR1999,
10564,Brazil,BRA,YR1999,
10565,Botswana,BWA,YR1999,
10566,Bosnia and Herzegovina,BIH,YR1999,
10567,Bolivia,BOL,YR1999,56.2575829839375
10568,Bhutan,BTN,YR1999,36.0933589086497
10569,Bermuda,BMU,YR1999,
10570,Benin,BEN,YR1999,
10571,Belize,BLZ,YR1999,
10572,Belgium,BEL,YR1999,115.121171084744
10573,Belarus,BLR,YR1999,15.103117448937
10574,Barbados,BRB,YR1999,
10575,Bangladesh,BGD,YR1999,
10576,Bahrain,BHR,YR1999,20.8358032721467
10577,"Bahamas, The",BHS,YR1999,19.6411443712608
10578,Azerbaijan,AZE,YR1999,
10579,Austria,AUT,YR1999,64.2128955433926
10580,Australia,AUS,YR1999,31.0660703401538
10581,Aruba,ABW,YR1999,
10582,Armenia,ARM,YR1999,
10583,Argentina,ARG,YR1999,
10584,Antigua and Barbuda,ATG,YR1999,
10585,Angola,AGO,YR1999,
10586,Andorra,AND,YR1999,
10587,American Samoa,ASM,YR1999,
10588,Algeria,DZA,YR1999,
10589,Albania,ALB,YR1999,
10590,Afghanistan,AFG,YR1999,
10591,World,WLD,YR1999,
10592,Upper middle income,UMC,YR1999,
10593,Sub-Saharan Africa (IDA & IBRD countries),TSS,YR1999,
10594,Sub-Saharan Africa (excluding high income),SSA,YR1999,
10595,Sub-Saharan Africa,SSF,YR1999,
10596,South Asia (IDA & IBRD),TSA,YR1999,53.0238082183941
10597,South Asia,SAS,YR1999,53.0238082183941
10598,Small states,SST,YR1999,
10599,Pre-demographic dividend,PRE,YR1999,
10600,Post-demographic dividend,PST,YR1999,56.0833528219626
10601,Pacific island small states,PSS,YR1999,
10602,Other small states,OSS,YR1999,61.3980312611939
10603,OECD members,OED,YR1999,55.6237009433167
10604,Not classified,INX,YR1999,
10605,North America,NAC,YR1999,40.1614016613285
10606,Middle income,MIC,YR1999,
10607,Middle East & North Africa (IDA & IBRD countries),TMN,YR1999,
10608,Middle East & North Africa (excluding high income),MNA,YR1999,
10609,Middle East & North Africa,MEA,YR1999,
10610,Lower middle income,LMC,YR1999,
10611,Low income,LIC,YR1999,
10612,Low & middle income,LMY,YR1999,
10613,Least developed countries: UN classification,LDC,YR1999,
10614,Latin America & the Caribbean (IDA & IBRD countries),TLA,YR1999,
10615,Latin America & Caribbean (excluding high income),LAC,YR1999,
10616,Latin America & Caribbean,LCN,YR1999,
10617,Late-demographic dividend,LTE,YR1999,
10618,IDA total,IDA,YR1999,
10619,IDA only,IDX,YR1999,
10620,IDA blend,IDB,YR1999,
10621,IDA & IBRD total,IBT,YR1999,
10622,IBRD only,IBD,YR1999,
10623,High income,HIC,YR1999,55.7569460360438
10624,Heavily indebted poor countries (HIPC),HPC,YR1999,
10625,Fragile and conflict affected situations,FCS,YR1999,
10626,European Union,EUU,YR1999,63.4788700596292
10627,Europe & Central Asia (IDA & IBRD countries),TEC,YR1999,
10628,Europe & Central Asia (excluding high income),ECA,YR1999,
10629,Europe & Central Asia,ECS,YR1999,64.3406107272535
10630,Euro area,EMU,YR1999,64.9005754613002
10631,East Asia & Pacific (IDA & IBRD countries),TEA,YR1999,
10632,East Asia & Pacific (excluding high income),EAP,YR1999,
10633,East Asia & Pacific,EAS,YR1999,
10634,Early-demographic dividend,EAR,YR1999,
10635,Central Europe and the Baltics,CEB,YR1999,38.5252815989086
10636,Caribbean small states,CSS,YR1999,
10637,Arab World,ARB,YR1999,
10638,Africa Western and Central,AFW,YR1999,
10639,Africa Eastern and Southern,AFE,YR1999,
10640,Zimbabwe,ZWE,YR2000,
10641,Zambia,ZMB,YR2000,
10642,"Yemen, Rep.",YEM,YR2000,
10643,West Bank and Gaza,PSE,YR2000,
10644,Virgin Islands (U.S.),VIR,YR2000,
10645,Viet Nam,VNM,YR2000,
10646,"Venezuela, RB",VEN,YR2000,
10647,Vanuatu,VUT,YR2000,
10648,Uzbekistan,UZB,YR2000,
10649,Uruguay,URY,YR2000,
10650,United States,USA,YR2000,33.2676418736523
10651,United Kingdom,GBR,YR2000,87.6020211637135
10652,United Arab Emirates,ARE,YR2000,
10653,Ukraine,UKR,YR2000,43.7297874273256
10654,Uganda,UGA,YR2000,
10655,Tuvalu,TUV,YR2000,
10656,Turks and Caicos Islands,TCA,YR2000,
10657,Turkmenistan,TKM,YR2000,
10658,Turkiye,TUR,YR2000,
10659,Tunisia,TUN,YR2000,
10660,Trinidad and Tobago,TTO,YR2000,
10661,Tonga,TON,YR2000,
10662,Togo,TGO,YR2000,
10663,Timor-Leste,TLS,YR2000,
10664,Thailand,THA,YR2000,
10665,Tanzania,TZA,YR2000,
10666,Tajikistan,TJK,YR2000,114.076117982873
10667,Syrian Arab Republic,SYR,YR2000,
10668,Switzerland,CHE,YR2000,25.6271702324183
10669,Sweden,SWE,YR2000,70.2783172649888
10670,Suriname,SUR,YR2000,
10671,Sudan,SDN,YR2000,
10672,St. Vincent and the Grenadines,VCT,YR2000,47.911890587105
10673,St. Martin (French part),MAF,YR2000,
10674,St. Lucia,LCA,YR2000,30.8776806989674
10675,St. Kitts and Nevis,KNA,YR2000,
10676,Sri Lanka,LKA,YR2000,96.9040326453759
10677,Spain,ESP,YR2000,53.1953696938461
10678,South Sudan,SSD,YR2000,
10679,South Africa,ZAF,YR2000,
10680,Somalia,SOM,YR2000,
10681,Solomon Islands,SLB,YR2000,
10682,Slovenia,SVN,YR2000,31.9670132087407
10683,Slovak Republic,SVK,YR2000,53.944451714151
10684,Sint Maarten (Dutch part),SXM,YR2000,
10685,Singapore,SGP,YR2000,83.842291725532
10686,Sierra Leone,SLE,YR2000,
10687,Seychelles,SYC,YR2000,
10688,Serbia,SRB,YR2000,
10689,Senegal,SEN,YR2000,
10690,Saudi Arabia,SAU,YR2000,
10691,Sao Tome and Principe,STP,YR2000,
10692,San Marino,SMR,YR2000,
10693,Samoa,WSM,YR2000,
10694,Rwanda,RWA,YR2000,
10695,Russian Federation,RUS,YR2000,
10696,Romania,ROU,YR2000,27.8447345285392
10697,Qatar,QAT,YR2000,
10698,Puerto Rico,PRI,YR2000,
10699,Portugal,PRT,YR2000,63.5055892660674
10700,Poland,POL,YR2000,41.6215197940367
10701,Philippines,PHL,YR2000,58.5984332029896
10702,Peru,PER,YR2000,
10703,Paraguay,PRY,YR2000,
10704,Papua New Guinea,PNG,YR2000,57.7415312557776
10705,Panama,PAN,YR2000,
10706,Palau,PLW,YR2000,
10707,Pakistan,PAK,YR2000,55.0324216144747
10708,Oman,OMN,YR2000,
10709,Norway,NOR,YR2000,23.546184164142
10710,Northern Mariana Islands,MNP,YR2000,
10711,North Macedonia,MKD,YR2000,
10712,Nigeria,NGA,YR2000,
10713,Niger,NER,YR2000,
10714,Nicaragua,NIC,YR2000,
10715,New Zealand,NZL,YR2000,
10716,New Caledonia,NCL,YR2000,
10717,Netherlands,NLD,YR2000,51.8133568727918
10718,Nepal,NPL,YR2000,64.5733198414706
10719,Nauru,NRU,YR2000,
10720,Namibia,NAM,YR2000,
10721,Myanmar,MMR,YR2000,
10722,Mozambique,MOZ,YR2000,
10723,Morocco,MAR,YR2000,
10724,Montenegro,MNE,YR2000,
10725,Mongolia,MNG,YR2000,
10726,Monaco,MCO,YR2000,
10727,Moldova,MDA,YR2000,
10728,"Micronesia, Fed. Sts.",FSM,YR2000,
10729,Mexico,MEX,YR2000,
10730,Mauritius,MUS,YR2000,
10731,Mauritania,MRT,YR2000,
10732,Marshall Islands,MHL,YR2000,
10733,Malta,MLT,YR2000,156.001452622773
10734,Mali,MLI,YR2000,
10735,Maldives,MDV,YR2000,40.8644099852265
10736,Malaysia,MYS,YR2000,
10737,Malawi,MWI,YR2000,
10738,Madagascar,MDG,YR2000,
10739,"Macao SAR, China",MAC,YR2000,
10740,Luxembourg,LUX,YR2000,12.3147292918433
10741,Lithuania,LTU,YR2000,32.6930235463493
10742,Liechtenstein,LIE,YR2000,
10743,Libya,LBY,YR2000,
10744,Liberia,LBR,YR2000,
10745,Lesotho,LSO,YR2000,
10746,Lebanon,LBN,YR2000,
10747,Latvia,LVA,YR2000,19.3477081011397
10748,Lao PDR,LAO,YR2000,
10749,Kyrgyz Republic,KGZ,YR2000,
10750,Kuwait,KWT,YR2000,
10751,Kosovo,XKX,YR2000,
10752,"Korea, Rep.",KOR,YR2000,
10753,"Korea, Dem. People's Rep.",PRK,YR2000,
10754,Kiribati,KIR,YR2000,
10755,Kenya,KEN,YR2000,
10756,Kazakhstan,KAZ,YR2000,
10757,Jordan,JOR,YR2000,93.7109707103206
10758,Japan,JPN,YR2000,98.9338230693531
10759,Jamaica,JAM,YR2000,98.3341557109605
10760,Italy,ITA,YR2000,112.977883677246
10761,Israel,ISR,YR2000,
10762,Isle of Man,IMN,YR2000,
10763,Ireland,IRL,YR2000,38.1423657943342
10764,Iraq,IRQ,YR2000,
10765,"Iran, Islamic Rep.",IRN,YR2000,
10766,Indonesia,IDN,YR2000,
10767,India,IND,YR2000,55.0042464964554
10768,Iceland,ISL,YR2000,58.1976032613898
10769,Hungary,HUN,YR2000,61.1292270549529
