,Country,economy,Year,GDP
10875,Middle East & North Africa,MEA,YR2000,6.76484790116207
10876,Lower middle income,LMC,YR2000,4.20603550658572
10877,Low income,LIC,YR2000,3.20270359570579
10878,Low & middle income,LMY,YR2000,5.53117578592853
10879,Least developed countries: UN classification,LDC,YR2000,4.34724403765519
10880,Latin America & the Caribbean (IDA & IBRD countries),TLA,YR2000,3.5836251524652
10881,Latin America & Caribbean (excluding high income),LAC,YR2000,3.62121284693681
10882,Latin America & Caribbean,LCN,YR2000,3.6099688665185
10883,Late-demographic dividend,LTE,YR2000,6.98320832312542
10884,IDA total,IDA,YR2000,3.93527237600149
10885,IDA only,IDX,YR2000,4.07564269142151
10886,IDA blend,IDB,YR2000,3.78519851568649
10887,IDA & IBRD total,IBT,YR2000,5.72471537231326
10888,IBRD only,IBD,YR2000,5.89156951859573
10889,High income,HIC,YR2000,4.2590762232426
10890,Heavily indebted poor countries (HIPC),HPC,YR2000,2.88899820735506
10891,Fragile and conflict affected situations,FCS,YR2000,5.46385413929056
10892,European Union,EUU,YR2000,3.90052515626455
10893,Europe & Central Asia (IDA & IBRD countries),TEC,YR2000,7.3597057575905
10894,Europe & Central Asia (excluding high income),ECA,YR2000,6.7788147387722
10895,Europe & Central Asia,ECS,YR2000,4.35525178046252
10896,Euro area,EMU,YR2000,3.86117819418774
10897,East Asia & Pacific (IDA & IBRD countries),TEA,YR2000,7.645687237633
10898,East Asia & Pacific (excluding high income),EAP,YR2000,7.64657808569183
10899,East Asia & Pacific,EAS,YR2000,5.39624142845969
10900,Early-demographic dividend,EAR,YR2000,4.42817826606417
10901,Central Europe and the Baltics,CEB,YR2000,3.95685838323978
10902,Caribbean small states,CSS,YR2000,3.65896099193061
10903,Arab World,ARB,YR2000,6.59810073069697
10904,Africa Western and Central,AFW,YR2000,3.85976026327238
10905,Africa Eastern and Southern,AFE,YR2000,3.21980299445006
10906,Zimbabwe,ZWE,YR2001,1.43961539576736
10907,Zambia,ZMB,YR2001,5.31686827418419
10908,"Yemen, Rep.",YEM,YR2001,3.80364587188127
10909,West Bank and Gaza,PSE,YR2001,-9.31063816755331
10910,Virgin Islands (U.S.),VIR,YR2001,
10911,Viet Nam,VNM,YR2001,6.19289331233377
10912,"Venezuela, RB",VEN,YR2001,3.3942361077907
10913,Vanuatu,VUT,YR2001,-3.39758248938256
10914,Uzbekistan,UZB,YR2001,4.1638382499889
10915,Uruguay,URY,YR2001,-3.84412995940374
10916,United States,USA,YR2001,0.955538346430316
10917,United Kingdom,GBR,YR2001,2.5787410460365
10918,United Arab Emirates,ARE,YR2001,1.39908503706675
10919,Ukraine,UKR,YR2001,8.80000000367222
10920,Uganda,UGA,YR2001,5.18366112490236
10921,Tuvalu,TUV,YR2001,0.0
10922,Turks and Caicos Islands,TCA,YR2001,
10923,Turkmenistan,TKM,YR2001,4.34384571432727
10924,Turkiye,TUR,YR2001,-5.75000655464257
10925,Tunisia,TUN,YR2001,3.79627166202512
10926,Trinidad and Tobago,TTO,YR2001,4.16852398185424
10927,Tonga,TON,YR2001,3.74892569298142
10928,Togo,TGO,YR2001,0.823438748781101
10929,Timor-Leste,TLS,YR2001,16.3513809203446
10930,Thailand,THA,YR2001,3.44424900968372
10931,Tanzania,TZA,YR2001,6.07080828734129
10932,Tajikistan,TJK,YR2001,9.58083617842951
10933,Syrian Arab Republic,SYR,YR2001,1.04728710191981
10934,Switzerland,CHE,YR2001,1.57566196744156
10935,Sweden,SWE,YR2001,1.44949861796981
10936,Suriname,SUR,YR2001,4.20000042083539
10937,Sudan,SDN,YR2001,6.50036053396883
10938,St. Vincent and the Grenadines,VCT,YR2001,1.74823102028898
10939,St. Martin (French part),MAF,YR2001,
10940,St. Lucia,LCA,YR2001,-3.40806396189404
10941,St. Kitts and Nevis,KNA,YR2001,5.25344983010886
10942,Sri Lanka,LKA,YR2001,-1.54540813366026
10943,Spain,ESP,YR2001,3.93300276489272
10944,South Sudan,SSD,YR2001,
10945,South Africa,ZAF,YR2001,2.70000000019104
10946,Somalia,SOM,YR2001,7.11031431127722
10947,Solomon Islands,SLB,YR2001,-7.9566061001623
10948,Slovenia,SVN,YR2001,3.21656033452891
10949,Slovak Republic,SVK,YR2001,3.25378398108975
10950,Sint Maarten (Dutch part),SXM,YR2001,
10951,Singapore,SGP,YR2001,-1.07086275100448
10952,Sierra Leone,SLE,YR2001,-6.34545540326558
10953,Seychelles,SYC,YR2001,-2.27116288552982
10954,Serbia,SRB,YR2001,6.87877476506638
10955,Senegal,SEN,YR2001,4.31085146618369
10956,Saudi Arabia,SAU,YR2001,-1.21076480421102
10957,Sao Tome and Principe,STP,YR2001,3.06448474572719
10958,San Marino,SMR,YR2001,5.57834290401968
10959,Samoa,WSM,YR2001,7.39012906172989
10960,Rwanda,RWA,YR2001,8.48455779934183
10961,Russian Federation,RUS,YR2001,5.10005122572568
10962,Romania,ROU,YR2001,5.21813625673708
10963,Qatar,QAT,YR2001,3.89818666233907
10964,Puerto Rico,PRI,YR2001,6.31347155468906
10965,Portugal,PRT,YR2001,1.94367229584959
10966,Poland,POL,YR2001,1.2585694606657
10967,Philippines,PHL,YR2001,3.04923150985866
10968,Peru,PER,YR2001,0.617892325624297
10969,Paraguay,PRY,YR2001,-0.834054716746095
10970,Papua New Guinea,PNG,YR2001,-0.121288605564772
10971,Panama,PAN,YR2001,0.574273151095085
10972,Palau,PLW,YR2001,6.50039069056305
10973,Pakistan,PAK,YR2001,3.65135017083765
10974,Oman,OMN,YR2001,4.4828025314312
10975,Norway,NOR,YR2001,2.06713046054618
10976,Northern Mariana Islands,MNP,YR2001,
10977,North Macedonia,MKD,YR2001,-3.06725662451662
10978,Nigeria,NGA,YR2001,5.91768464920368
10979,Niger,NER,YR2001,7.26813490213235
10980,Nicaragua,NIC,YR2001,2.96084349057273
10981,New Zealand,NZL,YR2001,3.41147076988781
10982,New Caledonia,NCL,YR2001,
10983,Netherlands,NLD,YR2001,2.32695508699258
10984,Nepal,NPL,YR2001,4.79989214255407
10985,Nauru,NRU,YR2001,-6.7610189541647
10986,Namibia,NAM,YR2001,1.17794869467917
10987,Myanmar,MMR,YR2001,11.3439970699605
10988,Mozambique,MOZ,YR2001,12.8516820207736
10989,Morocco,MAR,YR2001,7.72182519577728
10990,Montenegro,MNE,YR2001,1.09983870937067
10991,Mongolia,MNG,YR2001,2.95271054338117
10992,Monaco,MCO,YR2001,2.18773409061774
10993,Moldova,MDA,YR2001,6.10000039929173
10994,"Micronesia, Fed. Sts.",FSM,YR2001,2.16760244050491
10995,Mexico,MEX,YR2001,-0.450845253215945
10996,Mauritius,MUS,YR2001,3.34754072731407
10997,Mauritania,MRT,YR2001,-0.799493815789347
10998,Marshall Islands,MHL,YR2001,6.93004065374994
10999,Malta,MLT,YR2001,-1.17469665032554
11000,Mali,MLI,YR2001,15.3762394579174
11001,Maldives,MDV,YR2001,-3.94363428947102
11002,Malaysia,MYS,YR2001,0.517675319192861
11003,Malawi,MWI,YR2001,-4.97496361701027
11004,Madagascar,MDG,YR2001,5.98023576982733
11005,"Macao SAR, China",MAC,YR2001,2.88841412754124
11006,Luxembourg,LUX,YR2001,3.07435499929876
11007,Lithuania,LTU,YR2001,6.52610890248806
11008,Liechtenstein,LIE,YR2001,-0.733092455297992
11009,Libya,LBY,YR2001,-1.76283887062603
11010,Liberia,LBR,YR2001,2.92027476569781
11011,Lesotho,LSO,YR2001,3.56158183392093
11012,Lebanon,LBN,YR2001,3.83966927702973
11013,Latvia,LVA,YR2001,6.32350815882813
11014,Lao PDR,LAO,YR2001,5.75141287983195
11015,Kyrgyz Republic,KGZ,YR2001,5.32162141190466
11016,Kuwait,KWT,YR2001,0.213332576499354
11017,Kosovo,XKX,YR2001,
11018,"Korea, Rep.",KOR,YR2001,4.85239957151281
11019,"Korea, Dem. People's Rep.",PRK,YR2001,
11020,Kiribati,KIR,YR2001,-3.17460317460318
11021,Kenya,KEN,YR2001,3.77990649795343
11022,Kazakhstan,KAZ,YR2001,13.4999999984358
11023,Jordan,JOR,YR2001,5.26995757513571
11024,Japan,JPN,YR2001,0.386103426145752
11025,Jamaica,JAM,YR2001,1.34492956396697
11026,Italy,ITA,YR2001,1.95137155605238
11027,Israel,ISR,YR2001,0.334070643441066
11028,Isle of Man,IMN,YR2001,5.39999903126116
11029,Ireland,IRL,YR2001,5.30582152808266
11030,Iraq,IRQ,YR2001,1.76148008080345
11031,"Iran, Islamic Rep.",IRN,YR2001,2.39217271180297
11032,Indonesia,IDN,YR2001,3.64346644786215
11033,India,IND,YR2001,4.82396626555771
11034,Iceland,ISL,YR2001,4.01349755473568
11035,Hungary,HUN,YR2001,4.07408803273854
11036,"Hong Kong SAR, China",HKG,YR2001,0.560798480599047
11037,Honduras,HND,YR2001,2.72319327321379
11038,Haiti,HTI,YR2001,-0.342747883252144
11039,Guyana,GUY,YR2001,2.2795216592191
11040,Guinea-Bissau,GNB,YR2001,4.78597164797961
11041,Guinea,GIN,YR2001,3.65834646929586
11042,Guatemala,GTM,YR2001,2.33257486608854
11043,Guam,GUM,YR2001,
11044,Grenada,GRD,YR2001,-2.02390004072058
11045,Greenland,GRL,YR2001,1.26903507902787
11046,Greece,GRC,YR2001,4.13161198627073
11047,Gibraltar,GIB,YR2001,
11048,Ghana,GHA,YR2001,4.00000012807919
11049,Germany,DEU,YR2001,1.68146848097079
11050,Georgia,GEO,YR2001,4.80729867243699
11051,"Gambia, The",GMB,YR2001,5.80000024323377
11052,Gabon,GAB,YR2001,2.13523342197423
11053,French Polynesia,PYF,YR2001,-0.341595578089056
11054,France,FRA,YR2001,1.98372141863292
11055,Finland,FIN,YR2001,2.61001912392074
11056,Fiji,FJI,YR2001,2.00000014675206
11057,Faroe Islands,FRO,YR2001,
11058,Ethiopia,ETH,YR2001,8.30130632052328
11059,Eswatini,SWZ,YR2001,1.05476490606893
11060,Estonia,EST,YR2001,6.00367425106573
11061,Eritrea,ERI,YR2001,8.75543552816325
11062,Equatorial Guinea,GNQ,YR2001,63.3798754250602
11063,El Salvador,SLV,YR2001,0.879613659882722
11064,"Egypt, Arab Rep.",EGY,YR2001,3.53525197391507
11065,Ecuador,ECU,YR2001,4.20627185748789
11066,Dominican Republic,DOM,YR2001,2.45951636772918
11067,Dominica,DMA,YR2001,-0.0638447296175713
11068,Djibouti,DJI,YR2001,
11069,Denmark,DNK,YR2001,0.823152998014436
11070,Czechia,CZE,YR2001,3.04297656257042
11071,Cyprus,CYP,YR2001,3.95256054086292
11072,Curacao,CUW,YR2001,-0.695753704098053
11073,Cuba,CUB,YR2001,3.18502990449461
11074,Croatia,HRV,YR2001,3.12086446001076
11075,Cote d'Ivoire,CIV,YR2001,-2.15401249077306
11076,Costa Rica,CRI,YR2001,3.49116987088031
11077,"Congo, Rep.",COG,YR2001,3.80260189913561
11078,"Congo, Dem. Rep.",COD,YR2001,-2.10017302488846
11079,Comoros,COM,YR2001,2.33290710182874
11080,Colombia,COL,YR2001,1.67789830787579
11081,China,CHN,YR2001,8.33573347817196
11082,Chile,CHL,YR2001,3.154034924374
11083,Channel Islands,CHI,YR2001,
11084,Chad,TCD,YR2001,11.658134654294
11085,Central African Republic,CAF,YR2001,4.46473902640867
11086,Cayman Islands,CYM,YR2001,
11087,Canada,CAN,YR2001,1.87509813216803
11088,Cameroon,CMR,YR2001,4.32426119221549
11089,Cambodia,KHM,YR2001,8.14838609677599
11090,Cabo Verde,CPV,YR2001,2.23165454528898
11091,Burundi,BDI,YR2001,2.05580710835243
11092,Burkina Faso,BFA,YR2001,6.61340574539679
11093,Bulgaria,BGR,YR2001,3.82370396508492
11094,Brunei Darussalam,BRN,YR2001,2.74404051765202
11095,British Virgin Islands,VGB,YR2001,
11096,Brazil,BRA,YR2001,1.38989640095637
11097,Botswana,BWA,YR2001,0.250573949689084
11098,Bosnia and Herzegovina,BIH,YR2001,2.42331317180992
11099,Bolivia,BOL,YR2001,1.68379912721825
11100,Bhutan,BTN,YR2001,7.32837445197947
11101,Bermuda,BMU,YR2001,7.22243553752608
11102,Benin,BEN,YR2001,5.33313570603937
11103,Belize,BLZ,YR2001,4.99356330230461
11104,Belgium,BEL,YR2001,1.09961888777849
11105,Belarus,BLR,YR2001,4.72530604998076
11106,Barbados,BRB,YR2001,-2.36546422235364
11107,Bangladesh,BGD,YR2001,5.07728777526728
11108,Bahrain,BHR,YR2001,2.49094810829847
11109,"Bahamas, The",BHS,YR2001,2.62600982683425
11110,Azerbaijan,AZE,YR2001,9.89999986533643
11111,Austria,AUT,YR2001,1.26716818922992
11112,Australia,AUS,YR2001,2.02512731541893
11113,Aruba,ABW,YR2001,4.1820016304779
11114,Armenia,ARM,YR2001,9.59999999927597
11115,Argentina,ARG,YR2001,-4.40883968258557
11116,Antigua and Barbuda,ATG,YR2001,-4.54806804210732
11117,Angola,AGO,YR2001,4.2059985561951
11118,Andorra,AND,YR2001,8.11935772169949
11119,American Samoa,ASM,YR2001,
11120,Algeria,DZA,YR2001,2.99999999909843
11121,Albania,ALB,YR2001,8.29331263121023
11122,Afghanistan,AFG,YR2001,-9.43197406761324
11123,World,WLD,YR2001,2.02540286904951
11124,Upper middle income,UMC,YR2001,3.41985733827319
11125,Sub-Saharan Africa (IDA & IBRD countries),TSS,YR2001,4.19846136104258
11126,Sub-Saharan Africa (excluding high income),SSA,YR2001,4.20619358093136
11127,Sub-Saharan Africa,SSF,YR2001,4.19846136104258
11128,South Asia (IDA & IBRD),TSA,YR2001,4.35912766958269
11129,South Asia,SAS,YR2001,4.35912766958269
11130,Small states,SST,YR2001,2.70104821291078
11131,Pre-demographic dividend,PRE,YR2001,4.33180315338171
11132,Post-demographic dividend,PST,YR2001,1.53298388984872
11133,Pacific island small states,PSS,YR2001,1.02418815448149
11134,Other small states,OSS,YR2001,3.21742989395919
11135,OECD members,OED,YR2001,1.4163537833124
11136,Not classified,INX,YR2001,
11137,North America,NAC,YR2001,1.03022254267219
11138,Middle income,MIC,YR2001,3.61708131679855
11139,Middle East & North Africa (IDA & IBRD countries),TMN,YR2001,2.86940885109195
11140,Middle East & North Africa (excluding high income),MNA,YR2001,2.77351340235208
11141,Middle East & North Africa,MEA,YR2001,1.52960827314179
11142,Lower middle income,LMC,YR2001,4.34486366831783
11143,Low income,LIC,YR2001,4.32605075181299
11144,Low & middle income,LMY,YR2001,3.63133140926767
11145,Least developed countries: UN classification,LDC,YR2001,4.88560435044438
11146,Latin America & the Caribbean (IDA & IBRD countries),TLA,YR2001,0.225615995773623
11147,Latin America & Caribbean (excluding high income),LAC,YR2001,0.175852310471598
11148,Latin America & Caribbean,LCN,YR2001,0.453271766118576
11149,Late-demographic dividend,LTE,YR2001,5.18473597667588
11150,IDA total,IDA,YR2001,4.0341892406087
11151,IDA only,IDX,YR2001,3.73543719231692
11152,IDA blend,IDB,YR2001,4.35837498802326
11153,IDA & IBRD total,IBT,YR2001,3.65718497365346
11154,IBRD only,IBD,YR2001,3.62246448494321
11155,High income,HIC,YR2001,1.58303598099296
11156,Heavily indebted poor countries (HIPC),HPC,YR2001,3.62872772964427
11157,Fragile and conflict affected situations,FCS,YR2001,4.11186251037505
11158,European Union,EUU,YR2001,2.1759096012488
11159,Europe & Central Asia (IDA & IBRD countries),TEC,YR2001,2.59308755339677
11160,Europe & Central Asia (excluding high income),ECA,YR2001,-0.133106140411812
11161,Europe & Central Asia,ECS,YR2001,2.25835340714281
11162,Euro area,EMU,YR2001,2.19922506482003
11163,East Asia & Pacific (IDA & IBRD countries),TEA,YR2001,6.97925801496142
11164,East Asia & Pacific (excluding high income),EAP,YR2001,6.97944726729803
11165,East Asia & Pacific,EAS,YR2001,3.29904253216451
11166,Early-demographic dividend,EAR,YR2001,1.03090387816718
11167,Central Europe and the Baltics,CEB,YR2001,3.08064775928611
11168,Caribbean small states,CSS,YR2001,1.29960547219403
11169,Arab World,ARB,YR2001,1.67856914031832
11170,Africa Western and Central,AFW,YR2001,5.20909415462474
11171,Africa Eastern and Southern,AFE,YR2001,3.51014673876612
11172,Zimbabwe,ZWE,YR2002,-8.89402363141309
11173,Zambia,ZMB,YR2002,4.50601428032604
11174,"Yemen, Rep.",YEM,YR2002,3.9352315052778
11175,West Bank and Gaza,PSE,YR2002,-12.4891917608064
11176,Virgin Islands (U.S.),VIR,YR2002,
11177,Viet Nam,VNM,YR2002,6.32082099160833
11178,"Venezuela, RB",VEN,YR2002,-8.85564735286779
11179,Vanuatu,VUT,YR2002,-5.19831875936035
11180,Uzbekistan,UZB,YR2002,3.97348819235724
11181,Uruguay,URY,YR2002,-7.73200721540044
11182,United States,USA,YR2002,1.70044732363073
11183,United Kingdom,GBR,YR2002,1.79198561607272
11184,United Arab Emirates,ARE,YR2002,2.43345681089617
11185,Ukraine,UKR,YR2002,5.33964720719075
11186,Uganda,UGA,YR2002,8.73268576440127
11187,Tuvalu,TUV,YR2002,9.52380952380953
11188,Turks and Caicos Islands,TCA,YR2002,
11189,Turkmenistan,TKM,YR2002,0.257179925006284
11190,Turkiye,TUR,YR2002,6.44772204681594
11191,Tunisia,TUN,YR2002,1.32255714828946
11192,Trinidad and Tobago,TTO,YR2002,7.93670968715332
11193,Tonga,TON,YR2002,4.84801281438973
11194,Togo,TGO,YR2002,3.82662257962301
11195,Timor-Leste,TLS,YR2002,-6.70365182412642
11196,Thailand,THA,YR2002,6.14903605210036
11197,Tanzania,TZA,YR2002,7.09319498355502
11198,Tajikistan,TJK,YR2002,10.8000037591665
11199,Syrian Arab Republic,SYR,YR2002,3.95483192702744
11200,Switzerland,CHE,YR2002,-0.0732170840426534
11201,Sweden,SWE,YR2002,2.1969210621746
11202,Suriname,SUR,YR2002,2.80000068850687
11203,Sudan,SDN,YR2002,6.0064715363132
11204,St. Vincent and the Grenadines,VCT,YR2002,5.34212707436718
11205,St. Martin (French part),MAF,YR2002,
11206,St. Lucia,LCA,YR2002,0.416450493043214
11207,St. Kitts and Nevis,KNA,YR2002,1.36771507253633
11208,Sri Lanka,LKA,YR2002,3.96467568513113
11209,Spain,ESP,YR2002,2.73094832930995
11210,South Sudan,SSD,YR2002,
11211,South Africa,ZAF,YR2002,3.70037440406668
11212,Somalia,SOM,YR2002,7.63026729337277
11213,Solomon Islands,SLB,YR2002,-2.79998288464989
11214,Slovenia,SVN,YR2002,3.50559805692072
11215,Slovak Republic,SVK,YR2002,4.50944413787025
11216,Sint Maarten (Dutch part),SXM,YR2002,
11217,Singapore,SGP,YR2002,3.92336076702013
11218,Sierra Leone,SLE,YR2002,26.5241348883313
11219,Seychelles,SYC,YR2002,1.21283290259314
11220,Serbia,SRB,YR2002,6.38040530400453
11221,Senegal,SEN,YR2002,0.0686965747419066
11222,Saudi Arabia,SAU,YR2002,-2.8191835480573
11223,Sao Tome and Principe,STP,YR2002,3.360188168222
11224,San Marino,SMR,YR2002,0.310800310800303
11225,Samoa,WSM,YR2002,5.65195919890348
11226,Rwanda,RWA,YR2002,13.1920719872189
11227,Russian Federation,RUS,YR2002,4.69999190914258
11228,Romania,ROU,YR2002,5.70299165043771
11229,Qatar,QAT,YR2002,7.18215168021513
11230,Puerto Rico,PRI,YR2002,0.916459383541792
11231,Portugal,PRT,YR2002,0.770924024291219
11232,Poland,POL,YR2002,2.03586304126273
11233,Philippines,PHL,YR2002,3.71625500158383
11234,Peru,PER,YR2002,5.45352893818767
11235,Paraguay,PRY,YR2002,-0.0214043949985694
11236,Papua New Guinea,PNG,YR2002,-0.158900533082658
11237,Panama,PAN,YR2002,2.229149322718
11238,Palau,PLW,YR2002,5.01619899291089
11239,Pakistan,PAK,YR2002,2.59481668445784
11240,Oman,OMN,YR2002,-1.10090529291352
11241,Norway,NOR,YR2002,1.37755700146496
11242,Northern Mariana Islands,MNP,YR2002,
11243,North Macedonia,MKD,YR2002,1.49366547202928
11244,Nigeria,NGA,YR2002,15.3291557409559
11245,Niger,NER,YR2002,4.91847057594622
11246,Nicaragua,NIC,YR2002,0.753938876079573
11247,New Zealand,NZL,YR2002,4.71384316544561
11248,New Caledonia,NCL,YR2002,
11249,Netherlands,NLD,YR2002,0.21727359494956
11250,Nepal,NPL,YR2002,0.120143177369414
11251,Nauru,NRU,YR2002,-9.97135602378921
11252,Namibia,NAM,YR2002,4.7886612188211
11253,Myanmar,MMR,YR2002,12.0255134340315
11254,Mozambique,MOZ,YR2002,9.66850534669427
11255,Morocco,MAR,YR2002,3.73019737485745
11256,Montenegro,MNE,YR2002,1.9039367333292
11257,Mongolia,MNG,YR2002,4.73297846590111
11258,Monaco,MCO,YR2002,1.02649563899888
11259,Moldova,MDA,YR2002,7.79999965773833
11260,"Micronesia, Fed. Sts.",FSM,YR2002,0.546997672499344
11261,Mexico,MEX,YR2002,-0.236588001922641
11262,Mauritius,MUS,YR2002,1.61491865862433
11263,Mauritania,MRT,YR2002,1.38148396199058
11264,Marshall Islands,MHL,YR2002,3.63579231659874
11265,Malta,MLT,YR2002,2.5652636837324
11266,Mali,MLI,YR2002,3.10630825205686
11267,Maldives,MDV,YR2002,7.26838641001544
11268,Malaysia,MYS,YR2002,5.39098830692797
11269,Malawi,MWI,YR2002,1.7000000294894
11270,Madagascar,MDG,YR2002,-12.4079711055149
11271,"Macao SAR, China",MAC,YR2002,8.91060554873478
11272,Luxembourg,LUX,YR2002,3.2254168997208
11273,Lithuania,LTU,YR2002,6.75141457592376
11274,Liechtenstein,LIE,YR2002,-0.993919947159299
11275,Libya,LBY,YR2002,-0.958897332849631
11276,Liberia,LBR,YR2002,3.76301761700071
11277,Lesotho,LSO,YR2002,0.723836067167127
11278,Lebanon,LBN,YR2002,3.42314982843781
11279,Latvia,LVA,YR2002,7.08812865691006
11280,Lao PDR,LAO,YR2002,5.91874368370564
11281,Kyrgyz Republic,KGZ,YR2002,-0.0173246130360667
11282,Kuwait,KWT,YR2002,3.01428315192251
11283,Kosovo,XKX,YR2002,
11284,"Korea, Rep.",KOR,YR2002,7.72514267547173
11285,"Korea, Dem. People's Rep.",PRK,YR2002,
11286,Kiribati,KIR,YR2002,1.63934426229508
11287,Kenya,KEN,YR2002,0.546859530175595
11288,Kazakhstan,KAZ,YR2002,9.79999999960842
11289,Jordan,JOR,YR2002,5.78380792679296
11290,Japan,JPN,YR2002,0.0419624993125609
11291,Jamaica,JAM,YR2002,1.99729094407155
11292,Italy,ITA,YR2002,0.253942998968455
11293,Israel,ISR,YR2002,-0.114220927907823
11294,Isle of Man,IMN,YR2002,6.19999819490684
11295,Ireland,IRL,YR2002,5.89936526893928
11296,Iraq,IRQ,YR2002,-8.19846982382958
11297,"Iran, Islamic Rep.",IRN,YR2002,8.07882927923774
11298,Indonesia,IDN,YR2002,4.49947538889633
11299,India,IND,YR2002,3.80397532112175
11300,Iceland,ISL,YR2002,0.559519082007625
11301,Hungary,HUN,YR2002,4.7412865464827
11302,"Hong Kong SAR, China",HKG,YR2002,1.65668988489507
11303,Honduras,HND,YR2002,3.75433786119939
11304,Haiti,HTI,YR2002,1.05182013450109
11305,Guyana,GUY,YR2002,1.13262696199476
11306,Guinea-Bissau,GNB,YR2002,3.65393603983838
11307,Guinea,GIN,YR2002,5.16460946696631
11308,Guatemala,GTM,YR2002,3.83928708556792
11309,Guam,GUM,YR2002,
11310,Grenada,GRD,YR2002,3.43732352954147
11311,Greenland,GRL,YR2002,-0.971177310665553
11312,Greece,GRC,YR2002,3.92287174153145
11313,Gibraltar,GIB,YR2002,
11314,Ghana,GHA,YR2002,4.49999955900331
11315,Germany,DEU,YR2002,-0.197973834771361
11316,Georgia,GEO,YR2002,5.47402488700408
11317,"Gambia, The",GMB,YR2002,-3.25000014970206
11318,Gabon,GAB,YR2002,-0.249033168543434
11319,French Polynesia,PYF,YR2002,0.846181482808589
11320,France,FRA,YR2002,1.13553148214601
11321,Finland,FIN,YR2002,1.70714896198065
11322,Fiji,FJI,YR2002,3.19999911373267
11323,Faroe Islands,FRO,YR2002,
11324,Ethiopia,ETH,YR2002,1.51472570631101
11325,Eswatini,SWZ,YR2002,4.38009908790089
11326,Estonia,EST,YR2002,6.7713679304362
11327,Eritrea,ERI,YR2002,3.0054291917378
11328,Equatorial Guinea,GNQ,YR2002,19.4628340359251
11329,El Salvador,SLV,YR2002,1.57291844759789
11330,"Egypt, Arab Rep.",EGY,YR2002,2.39020402675627
11331,Ecuador,ECU,YR2002,4.92809549611376
11332,Dominican Republic,DOM,YR2002,4.49510340292099
11333,Dominica,DMA,YR2002,-2.82799889265104
11334,Djibouti,DJI,YR2002,
11335,Denmark,DNK,YR2002,0.46634557149423
11336,Czechia,CZE,YR2002,1.56985532822202
11337,Cyprus,CYP,YR2002,3.72295649883057
11338,Curacao,CUW,YR2002,0.397065216763636
11339,Cuba,CUB,YR2002,1.42482126141282
11340,Croatia,HRV,YR2002,5.820577751174
11341,Cote d'Ivoire,CIV,YR2002,-2.73052647441901
11342,Costa Rica,CRI,YR2002,3.41687638944796
11343,"Congo, Rep.",COG,YR2002,4.58187006108889
11344,"Congo, Dem. Rep.",COD,YR2002,2.94776518359767
11345,Comoros,COM,YR2002,2.3249448613998
11346,Colombia,COL,YR2002,2.50398046659659
11347,China,CHN,YR2002,9.13363078966614
11348,Chile,CHL,YR2002,3.20279913985533
11349,Channel Islands,CHI,YR2002,
11350,Chad,TCD,YR2002,8.49120981898056
11351,Central African Republic,CAF,YR2002,3.61654219150596
11352,Cayman Islands,CYM,YR2002,
11353,Canada,CAN,YR2002,2.9992553495694
11354,Cameroon,CMR,YR2002,4.47702683369155
11355,Cambodia,KHM,YR2002,6.57893949872768
11356,Cabo Verde,CPV,YR2002,5.25089116960211
11357,Burundi,BDI,YR2002,4.44651941224797
11358,Burkina Faso,BFA,YR2002,4.35296382988099
11359,Bulgaria,BGR,YR2002,5.8719296097282
11360,Brunei Darussalam,BRN,YR2002,3.87209696704298
11361,British Virgin Islands,VGB,YR2002,
11362,Brazil,BRA,YR2002,3.05346185909312
11363,Botswana,BWA,YR2002,6.06953087648317
11364,Bosnia and Herzegovina,BIH,YR2002,5.02744420733983
11365,Bolivia,BOL,YR2002,2.48556573783829
11366,Bhutan,BTN,YR2002,10.4437795421609
11367,Bermuda,BMU,YR2002,-1.47779059768867
11368,Benin,BEN,YR2002,4.64303087074482
11369,Belize,BLZ,YR2002,5.3990721050487
11370,Belgium,BEL,YR2002,1.70688458453354
11371,Belarus,BLR,YR2002,5.04526750544755
11372,Barbados,BRB,YR2002,0.787401574803141
11373,Bangladesh,BGD,YR2002,3.83312393993225
11374,Bahrain,BHR,YR2002,3.3485506679412
11375,"Bahamas, The",BHS,YR2002,2.70495624731029
11376,Azerbaijan,AZE,YR2002,9.43891626906561
11377,Austria,AUT,YR2002,1.65155392186669
11378,Australia,AUS,YR2002,3.97963375579748
11379,Aruba,ABW,YR2002,-0.944953481157384
11380,Armenia,ARM,YR2002,13.1999999979356
11381,Argentina,ARG,YR2002,-10.8944848285903
11382,Antigua and Barbuda,ATG,YR2002,1.027224986623
11383,Angola,AGO,YR2002,13.6656887608562
11384,Andorra,AND,YR2002,4.54636221364653
11385,American Samoa,ASM,YR2002,
11386,Algeria,DZA,YR2002,5.40000000025718
11387,Albania,ALB,YR2002,4.53652416035675
11388,Afghanistan,AFG,YR2002,28.600001161665
11389,World,WLD,YR2002,2.30283698886824
11390,Upper middle income,UMC,YR2002,4.78756965832471
11391,Sub-Saharan Africa (IDA & IBRD countries),TSS,YR2002,6.33116475055392
11392,Sub-Saharan Africa (excluding high income),SSA,YR2002,6.33690172317121
11393,Sub-Saharan Africa,SSF,YR2002,6.33116475055388
11394,South Asia (IDA & IBRD),TSA,YR2002,3.7210753505875
11395,South Asia,SAS,YR2002,3.7210753505875
11396,Small states,SST,YR2002,3.09220943383978
